vessel_id,shape_class,rim_orient,rim_profile,base_type,additional_elem,height,opening_diam,base_diam,neck_diam,belly_diam,neck_height,belly_height,H-Bd,Bd-Rd,Bd-Nd,H-Bh,H-Nh,Bd-BaD
JZ004_P100,G,A,01,04,N,9.00,12.00,5.10,12.00,12.00,9.00,9.00,0.75,1.00,1.00,1.00,1.00,2.35
JZ004_P103,E,C,03,07,N,5.00,11.00,4.00,11.00,11.00,5.00,5.00,0.45,1.00,1.00,1.00,1.00,2.75
JZ004_P104,G,A,01,04,N,7.00,6.00,4.00,6.00,6.00,7.00,7.00,1.17,1.00,1.00,1.00,1.00,1.50
JZ004_P105,G,A,01,02,N,6.50,7.00,3.00,7.00,7.00,6.50,6.50,0.93,1.00,1.00,1.00,1.00,2.33
JZ004_P106,E,A,02,03,N,8.50,11.00,3.00,11.00,11.00,8.50,8.50,0.77,1.00,1.00,1.00,1.00,3.67
JZ004_P108,E,B,03,04,N,6.50,15.00,7.00,15.00,15.00,6.50,6.50,0.43,1.00,1.00,1.00,1.00,2.14
JZ004_P109,E,B,01,04,N,9.00,16.00,9.00,16.00,16.00,9.00,9.00,0.56,1.00,1.00,1.00,1.00,1.78
JZ004_P119,G,B,01,05,N,8.50,10.80,4.20,10.80,10.80,8.50,8.50,0.79,1.00,1.00,1.00,1.00,2.57
JZ004_P120,E,B,03,04,N,5.20,14.50,4.00,14.50,14.50,5.20,5.20,0.36,1.00,1.00,1.00,1.00,3.63
JZ004_P121,E,B,03,04,N,4.70,14.00,5.00,14.00,14.00,4.70,4.70,0.34,1.00,1.00,1.00,1.00,2.80
JZ007_P001,K,B,15,02,N,8.50,6.40,NA,5.08,8.69,7.72,4.18,0.98,1.36,1.71,2.03,1.10,NA
JZ007_P004,K,B,15,02,N,20.50,13.50,NA,12.06,24.50,19.07,10.87,0.84,1.81,2.03,1.89,1.07,NA
JZ007_P005,K,B,15,02,N,20.30,13.80,NA,11.70,23.86,18.67,10.79,0.85,1.73,2.04,1.88,1.09,NA
JZ007_P007,E,A,03,04,N,5.50,13.50,5.00,13.50,13.50,5.50,5.50,0.41,1.00,1.00,1.00,1.00,2.70
JZ007_P009,G,B,03,04,N,7.00,10.00,3.00,10.00,10.00,7.00,7.00,0.70,1.00,1.00,1.00,1.00,3.33
JZ007_P010,G,B,04,04,N,8.00,10.50,3.00,10.50,10.50,8.00,8.00,0.76,1.00,1.00,1.00,1.00,3.50
JZ007_P011,K,A,15,02,N,9.50,8.60,NA,6.78,11.10,8.64,4.16,0.86,1.29,1.64,2.28,1.10,NA
JZ007_P012,K,B,09,02,N,12.00,10.20,NA,6.88,14.09,11.00,6.13,0.85,1.38,2.05,1.96,1.09,NA
JZ007_P013,K,B,07,02,N,11.80,8.80,NA,7.74,13.34,10.79,5.65,0.88,1.52,1.72,2.09,1.09,NA
JZ007_P016,T,B,15,01,N,8.40,4.70,NA,3.44,9.92,7.33,3.80,0.85,2.11,2.88,2.21,1.15,NA
JZ007_P017,T,B,07,02,N,9.70,4.30,NA,3.62,10.70,8.43,3.65,0.91,2.49,2.96,2.66,1.15,NA
JZ007_P019,E,C,01,05,N,6.50,19.00,6.00,19.00,19.00,6.50,6.50,0.34,1.00,1.00,1.00,1.00,3.17
JZ007_P020,G,B,11,04,N,9.00,10.00,3.00,10.00,10.00,9.00,9.00,0.90,1.00,1.00,1.00,1.00,3.33
JZ007_P021,G,B,11,04,N,8.50,9.50,2.50,9.50,9.50,8.50,8.50,0.89,1.00,1.00,1.00,1.00,3.80
JZ007_P022,K,B,03,02,N,9.50,6.50,NA,5.56,10.36,8.15,3.62,0.92,1.59,1.86,2.62,1.17,NA
JZ007_P023,K,B,03,02,N,10.50,7.50,NA,5.82,10.80,8.86,4.55,0.97,1.44,1.86,2.31,1.19,NA
JZ007_P026,K,B,07,02,N,8.00,9.00,NA,7.00,13.42,6.82,3.33,0.60,1.49,1.92,2.40,1.17,NA
JZ007_P027,K,B,03,02,N,15.00,13.00,NA,9.63,18.50,13.13,7.79,0.81,1.42,1.92,1.93,1.14,NA
JZ007_P028,K,B,03,02,N,14.00,11.50,NA,9.30,19.48,12.01,6.25,0.72,1.69,2.09,2.24,1.17,NA
JZ007_P029,K,B,03,02,N,15.50,11.00,NA,8.79,18.75,13.21,7.24,0.83,1.70,2.13,2.14,1.17,NA
JZ007_P030,K,B,03,02,N,14.50,12.50,NA,9.78,17.88,12.43,6.65,0.81,1.43,1.83,2.18,1.17,NA
JZ007_P047,E,C,07,04,N,5.00,13.30,3.50,13.30,13.90,5.00,3.80,0.36,1.05,1.05,1.32,1.00,3.97
JZ007_P062,C,A,07,04,N,4.80,15.90,5.00,15.90,15.90,4.80,4.80,0.30,1.00,1.00,1.00,1.00,3.18
JZ007_P065,K,B,03,02,N,10.50,6.00,NA,7.30,15.43,8.84,4.74,0.68,2.57,2.11,2.22,1.19,NA
